state,district,stage,type,date,schools
Perak,Larut Matang & Selama,secondary,Sekolah Menengah Kerajaan,1/1/2018,36
Perak,Manjung (Dinding),secondary,Sekolah Menengah Kerajaan,1/1/2018,21
Perak,Muallim,secondary,Sekolah Menengah Kerajaan,1/1/2018,9
Perak,Perak Tengah,secondary,Sekolah Menengah Kerajaan,1/1/2018,16
Perlis,Perlis,secondary,Sekolah Menengah Kerajaan,1/1/2018,30
Pulau Pinang,Barat Daya,secondary,Sekolah Menengah Kerajaan,1/1/2018,13
Pulau Pinang,Seberang Perai Selatan,secondary,Sekolah Menengah Kerajaan,1/1/2018,17
Pulau Pinang,Seberang Perai Tengah,secondary,Sekolah Menengah Kerajaan,1/1/2018,31
Pulau Pinang,Seberang Perai Utara,secondary,Sekolah Menengah Kerajaan,1/1/2018,30
Pulau Pinang,Timur Laut,secondary,Sekolah Menengah Kerajaan,1/1/2018,37
Sabah,Beaufort,secondary,Sekolah Menengah Kerajaan,1/1/2018,12
Sabah,Beluran,secondary,Sekolah Menengah Kerajaan,1/1/2018,6
Sabah,Keningau,secondary,Sekolah Menengah Kerajaan,1/1/2018,13
Sabah,Kinabatangan,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sabah,Kota Belud,secondary,Sekolah Menengah Kerajaan,1/1/2018,9
Sabah,Kota Kinabalu,secondary,Sekolah Menengah Kerajaan,1/1/2018,24
Sabah,Kota Marudu,secondary,Sekolah Menengah Kerajaan,1/1/2018,7
Sabah,Kuala Penyu,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sabah,Kudat,secondary,Sekolah Menengah Kerajaan,1/1/2018,12
Sabah,Kunak,secondary,Sekolah Menengah Kerajaan,1/1/2018,3
Sabah,Lahad Datu,secondary,Sekolah Menengah Kerajaan,1/1/2018,10
Sabah,Nabawan,secondary,Sekolah Menengah Kerajaan,1/1/2018,3
Sabah,Papar,secondary,Sekolah Menengah Kerajaan,1/1/2018,11
Sabah,Penampang,secondary,Sekolah Menengah Kerajaan,1/1/2018,6
Sabah,Pitas,secondary,Sekolah Menengah Kerajaan,1/1/2018,6
Sabah,Ranau,secondary,Sekolah Menengah Kerajaan,1/1/2018,11
Sabah,Sandakan,secondary,Sekolah Menengah Kerajaan,1/1/2018,21
Sabah,Semporna,secondary,Sekolah Menengah Kerajaan,1/1/2018,9
Sabah,Sipitang,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sabah,Tambunan,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sabah,Tawau,secondary,Sekolah Menengah Kerajaan,1/1/2018,22
Sabah,Telupid,secondary,Sekolah Menengah Kerajaan,1/1/2018,2
Sabah,Tenom,secondary,Sekolah Menengah Kerajaan,1/1/2018,6
Sabah,Tongod,secondary,Sekolah Menengah Kerajaan,1/1/2018,3
Sabah,Tuaran,secondary,Sekolah Menengah Kerajaan,1/1/2018,10
Sarawak,Asajaya,secondary,Sekolah Menengah Kerajaan,1/1/2018,5
Sarawak,Bau,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sarawak,Belaga,secondary,Sekolah Menengah Kerajaan,1/1/2018,2
Sarawak,Betong,secondary,Sekolah Menengah Kerajaan,1/1/2018,8
Sarawak,Bintulu,secondary,Sekolah Menengah Kerajaan,1/1/2018,7
Sarawak,Dalat,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sarawak,Daro,secondary,Sekolah Menengah Kerajaan,1/1/2018,3
Sarawak,Julau,secondary,Sekolah Menengah Kerajaan,1/1/2018,3
Sarawak,Kabong,secondary,Sekolah Menengah Kerajaan,1/1/2018,1
Sarawak,Kanowit,secondary,Sekolah Menengah Kerajaan,1/1/2018,3
Sarawak,Kapit,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sarawak,Kuching,secondary,Sekolah Menengah Kerajaan,1/1/2018,41
Sarawak,Lawas,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sarawak,Limbang,secondary,Sekolah Menengah Kerajaan,1/1/2018,5
Sarawak,Lubok Antu,secondary,Sekolah Menengah Kerajaan,1/1/2018,2
Sarawak,Lundu,secondary,Sekolah Menengah Kerajaan,1/1/2018,3
Sarawak,Maradong,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sarawak,Marudi,secondary,Sekolah Menengah Kerajaan,1/1/2018,8
Sarawak,Miri,secondary,Sekolah Menengah Kerajaan,1/1/2018,18
Sarawak,Mukah,secondary,Sekolah Menengah Kerajaan,1/1/2018,3
Sarawak,Samarahan,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sarawak,Saratok,secondary,Sekolah Menengah Kerajaan,1/1/2018,5
Sarawak,Sarikei,secondary,Sekolah Menengah Kerajaan,1/1/2018,6
Sarawak,Sebauh,secondary,Sekolah Menengah Kerajaan,1/1/2018,1
Sarawak,Serian,secondary,Sekolah Menengah Kerajaan,1/1/2018,6
